Th,Ph,E,NrHits,NrBumps,E1,E1E9,E9E25,Z20,Z53,LatMom
42.4564,-126.569,0.944438,16,1,0.482566,0.655703,0.869816,0.875364,0.0354522,0.837499
103.372,135.805,0.840771,10,1,0.599092,0.778528,0.921672,0.969592,0.00861267,0.380065
65.6373,156.252,1.04034,18,1,0.44153,0.649082,0.772765,0.817684,0.03325,0.990733
115.448,150.833,1.75735,20,1,0.619972,0.432251,0.846732,0.921642,0.00606191,0.958657
55.5893,-154.119,0.185922,8,1,0.0975891,0.652461,1,0.807328,0.0241875,0.831853
60.8327,32.0308,1.12295,10,1,1.01493,0.950891,0.964446,0.976631,0.00834437,0.296865
123.27,16.6482,0.324778,3,1,0.288308,0.887708,1,0.995458,0.000982009,0.0159426
140.065,28.7127,0.547108,4,1,0.333483,0.614623,0.991724,0.9875,0.000587499,0.0444097
2.57644,-50.5764,0.712626,7,1,0.458922,0.935968,0.832378,0.665264,0.0238304,0.846957
68.8858,160.893,0.203702,7,1,0.0956559,0.517887,0.953447,0.907511,0.00557606,0.84906
96.3746,-98.88,1.21674,19,1,0.706265,0.687754,0.918815,0.892232,0.00570851,0.924389
102.668,-64.8329,1.36353,21,1,0.70002,0.61421,0.913832,0.909366,0.0154916,0.855815
67.0519,-149.318,1.81491,31,1,0.478334,0.39341,0.824728,0.812455,0.0349129,0.972327
60.2348,-144.968,0.197152,4,1,0.159004,0.838651,1,0.946343,0.0185121,0.476185
160.687,61.1892,0.706003,17,1,0.347853,0.635345,0.978048,0.79705,0.0336936,0.976342
27.7403,-5.89594,1.14445,16,1,0.608239,0.675702,0.842969,0.922349,0.00498364,0.875317
103.36,-85.6983,0.664706,13,1,0.224015,0.481695,0.764191,0.84713,0.0210966,0.95316
24.5008,126.771,1.28973,12,1,0.333852,0.406023,0.718413,0.917774,0.0173096,0.784224
40.7956,115.402,0.459531,4,1,0.398494,0.879164,1,0.98972,0.00457669,0.107477
110.181,87.791,0.494658,12,1,0.225247,0.509059,0.987812,0.887079,0.00249633,0.948195
28.3077,25.4083,0.890729,14,2,0.190809,0.463469,0.600666,0.878447,0.00928859,0.814912
11.3804,-32.3845,1.01623,24,2,0.294898,0.433652,0.800754,0.81606,0.0574459,0.960556
114.577,-85.4152,0.420646,9,1,0.169033,0.447025,0.916203,0.942214,0.00395819,0.818931
139.499,53.8696,0.109594,4,1,0.0527655,0.518458,1,0.887412,0.00739705,0.891772
53.0861,-108.501,0.152315,8,1,0.0501098,0.521483,0.910379,0.34987,0.213501,0.993528
62.7,-42.9526,1.51128,28,3,0.49081,0.478524,0.83929,0.880639,0.00826798,0.79201
78.4841,-62.6987,0.588149,13,1,0.195329,0.441302,0.811645,0.870356,0.00759717,0.968465
160.103,-50.2614,0.121499,7,1,0.0471418,0.458153,0.931321,0.889271,0.00433001,0.925408
49.1369,-100.273,1.09953,14,1,0.444484,0.443236,0.971348,0.871804,0.0284135,0.977555
68.4536,172.828,1.37238,17,1,0.378758,0.375746,0.86404,0.927058,0.0133227,0.666738
135.072,107.278,0.752185,9,1,0.347804,0.546069,0.900866,0.893221,0.00486175,0.964747
106.775,-83.5097,1.56762,29,1,0.498154,0.470723,0.804964,0.839894,0.0196391,0.848232
112.124,-26.9101,0.983135,29,1,0.313236,0.51682,0.784833,0.799,0.0352431,0.974585
158.702,-135.937,0.0958149,7,1,0.0273701,0.336787,1,0.872095,0.0407066,0.781111
65.8603,169.765,0.306986,11,1,0.170937,0.726956,1,0.688586,0.0149114,0.974647
61.7635,99.5964,1.22643,16,1,0.664453,0.624451,0.887475,0.937975,0.0121664,0.89862
126.958,178.194,0.220128,10,1,0.077205,0.535894,0.803953,0.360102,0.289617,0.993429
2.4144,55.3547,0.164969,7,1,0.0566488,0.526993,1,0.658197,0.0677992,0.877844
18.4111,-8.45378,0.778792,25,1,0.314122,0.639428,0.779375,0.740012,0.0099953,0.98267
43.2144,-73.449,0.785774,12,1,0.143259,0.288797,0.764437,0.87699,0.0117415,0.851939
121.298,-148.411,1.34361,14,1,0.542104,0.497322,0.867233,0.935566,0.0140345,0.639635
97.7519,52.534,0.938912,19,1,0.451231,0.568098,0.961121,0.85551,0.0103564,0.965121
42.427,147.654,0.229436,9,1,0.168154,0.952136,1,0.0159337,0.403951,0.995576
21.5362,-23.1809,0.102313,10,1,0.0188149,0.621216,1,0.370455,0.0998801,0.955577
74.4472,-144.451,0.745588,24,1,0.208039,0.406122,0.794076,0.793117,0.0144107,0.991324
121.844,67.8808,1.23642,24,2,0.704779,0.697559,0.882812,0.892472,0.0127754,0.932957
40.8312,178.57,0.265084,4,1,0.105674,0.576187,0.691864,0.958159,0.000770173,0.234066
76.1986,148.932,0.903369,25,1,0.377993,0.571583,0.828178,0.864336,0.0100034,0.824103
30.6011,-177.204,0.375251,7,1,0.131068,0.451197,0.798586,0.962878,0.00652725,0.441869
129.971,7.34916,0.882738,17,1,0.323966,0.403574,0.975661,0.872872,0.0246771,0.977519
84.5878,-52.2174,0.905085,10,1,0.591382,0.694412,0.962608,0.961039,0.00406757,0.609304
31.3879,-46.3691,0.405859,8,1,0.158135,0.547743,0.734272,0.964195,0.00155765,0.406311
126.42,-113.879,0.487372,8,1,0.312569,0.722957,1,0.859832,0.00946612,0.932309
37.7478,0.824504,0.322905,4,1,0.216801,0.671409,1,0.989273,0.000916583,0.0713966
30.9255,35.059,1.00782,9,1,0.224097,0.34905,0.831057,0.879763,0.0453803,0.969564
106.493,84.121,1.64108,22,3,0.556957,0.573108,0.765568,0.852637,0.0520281,0.842094
30.8696,-169.43,1.84626,21,2,0.727494,0.483614,0.886677,0.915637,0.0151999,0.689941
76.5165,-98.4183,0.355559,14,1,0.246802,0.913931,0.969673,0.815787,0.0199701,0.958729
86.8127,111.995,0.24413,12,1,0.098579,0.651716,0.833728,0.726017,0.0446995,0.976334
86.3065,-55.511,0.337801,16,1,0.0625604,0.886723,0.855589,0.398893,0.0920093,0.99649
116.491,149.45,1.07451,16,1,0.523592,0.567771,0.903594,0.945439,0.00995638,0.538421
9.41826,18.5732,1.19646,21,3,0.267087,0.579391,0.437309,0.539662,0.0365666,0.968875
4.52436,-35.5274,0.894324,7,1,0.756442,0.951988,0.903526,0.799921,0.0115023,0.719691
54.0032,-130.18,0.587825,9,1,0.263687,0.537017,0.874569,0.938171,0.00544705,0.527871
95.5491,39.9334,0.0756293,6,1,0.0409251,1,1,0.525698,0.144156,0.990995
119.858,66.0178,0.0265147,1,1,0.0265147,1,1,1,7.92966e-48,0
122.703,91.6536,0.508024,10,1,0.12033,0.347655,0.737593,0.885119,0.0383648,0.778813
138.134,-112.63,0.0469809,3,1,0.0283963,0.749149,1,0.947911,0.0182611,0.450439
137.988,23.0384,0.329687,10,1,0.127954,0.571538,0.758515,0.857956,0.0250918,0.851745
133.004,-115.382,0.510186,5,1,0.183149,0.364891,1,0.975785,0.00281045,0.260887
15.9514,-65.7382,1.34778,24,1,0.702443,0.610151,0.932577,0.890101,0.022113,0.949215
150.2,152.965,0.152962,10,1,0.0527075,0.664776,0.731551,0.344908,0.191179,0.994601
62.5177,-120.12,0.655912,6,1,0.491183,0.768862,1,0.938662,0.00420123,0.946601
9.19907,132.221,0.811455,14,2,0.175512,0.287133,0.840282,0.866978,0.0179026,0.946185
54.9402,-139.997,0.254766,9,1,0.0999457,0.432466,1,0.278447,0.367823,0.996446
44.4664,19.595,1.3538,20,1,0.687271,0.611163,0.87467,0.938395,0.00651027,0.616651
137.197,-116.157,0.144156,1,1,0.144156,1,1,1,2.60571e-48,0
27.0655,-72.5525,0.790346,6,1,0.334497,0.451743,0.936881,0.976024,0.00591274,0.245843
16.099,-43.8854,0.523613,7,1,0.149588,0.321467,0.901241,0.948504,0.00906279,0.603812
128.757,66.6096,1.34807,29,1,0.739944,0.706653,0.868553,0.871429,0.025114,0.952865
7.07276,-169.387,2.45424,22,4,1.15532,0.604667,0.858742,0.734196,0.0289812,0.908327
153.739,-79.658,1.28452,17,1,0.379834,0.344503,0.885332,0.91557,0.00842541,0.94619
40.7553,-138.384,0.624218,10,1,0.264149,0.480197,0.88124,0.970962,0.00299347,0.334157
47.5481,9.70773,0.747946,11,1,0.2495,0.381735,0.944974,0.923179,0.0275182,0.693903
113.609,79.7138,1.03599,13,1,0.517785,0.585181,0.893339,0.908251,0.0158835,0.780547
153.218,-173.461,0.164597,2,1,0.154852,1,1,0.980166,0.0118384,0
2.55177,-22.53,0.802498,13,1,0.472261,0.745716,0.878809,0.778211,0.0265048,0.906102
73.8756,-23.1545,0.430519,13,1,0.140873,0.393332,0.898648,0.740258,0.0709942,0.986744
33.3837,17.208,1.49673,19,2,0.867975,0.716386,0.977921,0.883998,0.0335518,0.71411
85.905,-13.2857,1.6245,27,2,0.633582,0.503217,0.894955,0.860738,0.0338758,0.898301
60.6252,140.418,0.93983,14,1,0.334995,0.395705,0.938732,0.920604,0.0178689,0.900681
117.339,18.9,0.849606,22,2,0.270753,0.500312,0.775929,0.818232,0.0434055,0.98334
83.853,120.205,1.15518,22,1,0.42425,0.525188,0.763495,0.881801,0.0206023,0.818675
42.6509,89.0852,0.292879,6,1,0.221377,0.832856,0.975628,0.949511,0.00309579,0.48756
0.626089,-161.467,0.267698,1,1,0.267698,1,1,1,5.63289e-47,0
151.334,-69.4295,0.608957,8,1,0.341101,0.634841,0.882331,0.963927,0.00394318,0.379718
156.523,-36.5113,0.391893,4,1,0.365778,0.980826,1,0.939696,0.00116433,0.477649
155.704,-124.901,0.494753,18,1,0.18502,0.514176,0.92672,0.630199,0.0781537,0.993333
159.964,-41.4002,0.40366,10,1,0.140963,0.421626,0.94931,0.846211,0.00370036,0.969117
6.99219,-134.903,0.746359,17,1,0.220198,0.418846,0.87629,0.561945,0.0823494,0.962874
49.9554,39.6022,0.350345,10,1,0.200252,0.753897,1,0.73592,0.0365508,0.957915
59.666,26.6245,0.413877,14,1,0.177904,0.584248,0.810394,0.828069,0.00662397,0.964059
140.085,-56.3312,0.292259,2,1,0.204222,0.698772,1,0.987386,0.00169834,0
79.396,-7.58127,1.72405,11,1,0.803293,0.517486,0.900379,0.962066,0.00540541,0.480393
21.3231,-178.456,0.104589,9,1,0.0233237,0.324829,0.743058,0.64232,0.0360628,0.991501
59.3568,-64.9419,0.816296,18,1,0.239818,0.633562,0.698034,0.82265,0.0485752,0.931279
159.663,119.276,0.25934,5,1,0.140135,0.560545,1,0.935545,0.000540241,0.771068
89.8049,-163.274,0.243412,4,1,0.205372,0.895764,1,0.921249,0.00343281,0.0468062
140.917,110.992,0.110684,4,1,0.0870594,0.94107,1,0.872292,0.0227213,0.840768
78.7888,57.5535,1.33142,12,1,0.983059,0.784153,0.945546,0.975625,0.00136588,0.282187
59.8621,-124.924,0.830419,17,2,0.346589,0.642572,0.849157,0.830577,0.0318519,0.853377
123.755,149.243,0.748417,9,1,0.6297,0.90799,1,0.948266,0.0222559,0.503053
73.0395,10.0982,0.617361,10,1,0.129408,0.636371,0.611687,0.874474,0.0387389,0.912484
103.895,75.0382,1.06403,15,1,0.370874,0.692497,0.561315,0.872354,0.0120328,0.98188
77.7232,161.953,0.51178,10,1,0.422959,0.943624,0.973187,0.8632,0.0356154,0.957587
81.2618,103.661,0.860556,22,2,0.334097,0.70899,0.878678,0.602016,0.0868957,0.992367
91.6286,-30.6754,0.77237,11,1,0.412641,0.691959,0.843889,0.940848,0.00704399,0.506288
163.744,28.7793,0.109696,3,1,0.0947764,1,1,0.711725,0.0804431,0.950398
87.5249,98.6442,1.68195,11,1,0.840481,0.521889,0.978886,0.967952,0.002527,0.323801
150.069,-107.907,0.666276,14,1,0.516655,0.922651,0.988617,0.7087,0.0633099,0.986991
119.49,-77.0789,0.82436,13,1,0.544359,0.874403,0.780174,0.912753,0.00390227,0.548381
67.346,-41.8817,0.607256,8,1,0.2845,0.541999,0.864395,0.953183,0.0114546,0.466702
116.91,-150.623,0.208786,13,1,0.0682457,0.937271,0.560336,0.696793,0.0210952,0.964697
127.385,-118.304,1.92226,29,1,1.10559,0.669754,0.924518,0.890405,0.0108156,0.950135
79.6063,99.124,1.02375,23,1,0.496738,0.5914,0.962291,0.837252,0.0174722,0.974925
90.5478,131.82,1.18918,26,1,0.446267,0.460541,0.899207,0.8639,0.00664789,0.864757
23.9878,4.64927,0.596141,9,1,0.38418,0.788964,0.876689,0.909859,0.00638105,0.709661
99.0125,162.53,1.43321,30,2,0.719845,0.676414,0.928231,0.737875,0.00798656,0.970304
22.2395,-115.443,0.0799859,7,1,0.0281001,0.625447,1,0,0,0.998974
47.2905,-60.701,0.683007,9,1,0.331238,0.517604,0.959343,0.944109,0.0167865,0.641131
56.5021,174.517,1.05537,26,2,0.309892,0.488184,0.85252,0.629793,0.0938715,0.994473
151.82,139.77,0.512316,9,1,0.320697,0.69697,0.976081,0.88491,0.0168355,0.932385
23.9244,119.147,0.0965335,10,1,0.0281203,0.665257,0.783106,0,0,0.99633
120.844,171.374,1.34024,22,2,0.483232,0.458643,0.841102,0.899427,0.014967,0.785933
8.94416,-98.4738,0.718957,12,1,0.415906,0.710719,0.90244,0.876754,0.0176464,0.923168
55.7211,-86.271,1.1388,27,2,0.321998,0.450735,0.832717,0.790065,0.03902,0.871249
71.0511,65.3526,0.768851,14,1,0.5755,0.841931,0.965934,0.933256,0.0159645,0.822442
132.568,-27.3336,2.42892,43,1,0.83258,0.443141,0.895758,0.841647,0.0232541,0.905254
25.1917,127.904,0.713578,13,1,0.305629,0.520899,0.904488,0.931709,0.0192053,0.840712
76.9949,-119.835,0.985296,11,1,0.635422,0.713651,0.971222,0.917807,0.0162363,0.824343
69.4434,121.732,0.743602,6,1,0.354233,0.490996,0.992896,0.973246,0.00692044,0.247672
51.1639,-37.0159,0.517085,9,1,0.323543,0.722201,0.956976,0.858624,0.00357356,0.968211
154.357,-158.369,0.725937,22,1,0.192135,0.335787,0.910959,0.839004,0.0114351,0.99208
141.399,26.7253,0.0449425,4,1,0.0142782,0.512856,1,0.235521,0.202342,0.948769
146.258,115.842,0.149902,9,1,0.0936022,0.9572,1,0.506921,0.102945,0.931835
6.5692,-122.106,0.728006,9,1,0.483478,0.728464,0.922381,0.95925,0.0119468,0.435238
157.53,59.5392,0.688399,16,1,0.229354,0.515805,0.865905,0.835748,0.00480196,0.977174
