Th,Ph,E,NrHits,NrBumps,E1,E1E9,E9E25,Z20,Z53,LatMom
29.5006,-111.296,2.01426,19,1,1.55302,0.813901,0.968089,0.972157,0.00488445,0.907123
60.2841,-166.879,2.94233,23,1,1.58409,0.564733,0.964038,0.970314,0.00376015,0.312713
24.1913,137.996,4.61625,21,1,2.15062,0.483695,0.965517,0.979215,0.00177286,0.216349
55.2623,-107.785,2.68568,18,1,2.26252,0.872855,0.972963,0.982134,0.00237903,0.242575
99.9513,-108.512,2.38155,18,1,0.734004,0.324181,0.956709,0.962009,0.00077101,0.413892
97.3881,53.6216,3.10398,18,1,1.74673,0.578568,0.981827,0.973916,0.00210296,0.289423
43.7355,109.362,4.65358,29,1,3.33526,0.767193,0.953384,0.968548,0.00380283,0.720597
102.992,-79.4344,2.74684,17,1,1.86794,0.707531,0.973024,0.965631,0.00558271,0.751643
21.1333,-22.4611,3.24341,21,1,1.42715,0.462876,0.959771,0.964188,0.00367166,0.393626
139.536,135.467,3.14864,15,1,2.15674,0.706212,0.975501,0.981332,0.00193578,0.599566
41.1299,66.1089,1.6453,12,1,1.46062,0.904956,0.985809,0.98681,0.00294155,0.195892
22.575,-104.917,2.13753,12,1,1.06553,0.514481,0.976892,0.981072,0.00126379,0.185602
86.3746,23.6886,4.12763,23,2,2.76239,0.7043,0.965913,0.968168,0.00361164,0.354923
102.133,98.1485,3.44637,22,1,1.35487,0.407712,0.969109,0.967115,0.00130588,0.370918
43.005,-49.1769,2.79341,24,1,2.01376,0.768497,0.957517,0.967946,0.00506412,0.829065
122.086,19.6427,1.07551,13,1,0.54908,0.537544,0.965597,0.961654,0.00375524,0.390961
109.846,7.50365,2.05115,19,1,1.72346,0.882344,0.972698,0.974375,0.00808809,0.33373
140.034,-80.1334,2.28997,10,1,2.05529,0.912736,0.993093,0.9845,0.00286217,0.745731
35.8498,166.228,3.90258,19,1,2.619,0.687946,0.980961,0.978976,0.000470977,0.893197
78.1889,-26.3794,2.05643,17,1,1.40072,0.709734,0.972101,0.973281,0.00470423,0.311287
17.8621,-72.4285,3.78082,22,1,2.31611,0.642844,0.964408,0.967113,0.00280401,0.37908
27.9519,-27.3463,3.52445,20,1,1.44974,0.433588,0.956948,0.964593,0.00105179,0.926325
38.3542,147.783,1.59607,16,1,1.25561,0.811895,0.989367,0.975499,0.00495996,0.917782
16.2104,18.4198,2.47469,17,1,1.99052,0.827502,0.976574,0.97944,0.00122707,0.282434
30.2252,102.557,4.31903,18,1,3.5979,0.856991,0.977067,0.984136,0.00110622,0.888321
106.13,162.892,3.43428,24,1,2.06387,0.627311,0.969496,0.969963,0.00141109,0.330816
89.2416,39.8572,4.50081,23,1,2.92344,0.684176,0.957128,0.969924,0.00126332,0.371043
76.1295,-115.487,4.4627,28,1,3.18833,0.760808,0.951824,0.969485,0.00208827,0.377577
84.5944,151.592,3.83254,23,1,2.66252,0.728091,0.960533,0.975589,0.00112092,0.299554
111.453,-18.843,3.26391,22,1,2.5219,0.800657,0.980517,0.973458,0.00241814,0.314607
108.446,-141.237,2.64639,22,1,1.14585,0.451011,0.97178,0.970669,0.00499386,0.284452
83.5037,-123.172,4.31384,26,1,3.61677,0.875233,0.96598,0.980354,0.00179062,0.269232
9.65473,89.1782,3.79831,21,1,2.64645,0.734894,0.955741,0.966968,0.00205802,0.90119
23.8356,14.2704,2.7765,21,1,2.24969,0.842389,0.975206,0.978995,0.00194665,0.896159
31.8943,34.2669,3.73145,21,1,2.75952,0.766367,0.977831,0.975268,0.00174881,0.885535
3.53807,166.579,2.8093,16,2,1.95571,0.865095,0.813793,0.894899,0.00369706,0.656172
149.392,-169.979,0.379264,7,1,0.335578,0.976734,1,0.835425,0.040028,0.836402
150.411,108.563,1.55907,21,1,1.19575,0.830924,0.985048,0.924179,0.00201428,0.852314
69.6252,-136.99,3.80272,29,1,1.87152,0.525814,0.960852,0.959531,0.00125045,0.927937
44.2786,-5.14494,4.02402,18,1,3.25843,0.831353,0.982473,0.982855,0.00119925,0.229661
10.095,-146.861,3.01448,24,1,1.67256,0.595017,0.943467,0.958783,0.0023789,0.774923
162.025,-2.52414,2.1983,16,1,1.79296,0.847606,0.981829,0.974852,0.0013067,0.583567
2.61487,32.1748,2.17943,9,1,1.90247,0.919017,0.959991,0.94486,0.0035767,0.652282
122.322,-92.555,4.2808,25,1,2.14155,0.521247,0.966414,0.971741,0.00110585,0.298226
150.793,-71.4821,2.41838,11,1,1.26847,0.533397,1,0.976816,0.00179589,0.491873
60.1204,177.575,2.96177,20,1,1.77015,0.624579,0.967029,0.973694,0.00128582,0.290345
160.844,-61.7973,1.25565,12,1,0.540654,0.446551,0.974825,0.964655,0.00715216,0.362118
56.759,36.9825,1.58603,17,1,1.3377,0.875024,0.972064,0.978473,0.00540454,0.28276
151.537,148.549,3.0104,24,1,1.52975,0.548249,0.944805,0.957979,0.00236764,0.756523
86.1916,-103.083,0.963353,9,1,0.793692,0.847525,0.972107,0.985538,0.00362311,0.15498
131.813,-125.517,3.75549,29,1,2.7815,0.784215,0.960459,0.969413,0.00241051,0.59841
160.547,55.2517,2.0801,17,1,0.839728,0.42717,0.959725,0.96234,0.00272634,0.456455
12.8183,165.982,1.10891,11,1,0.683368,0.642054,0.95981,0.976103,0.00209997,0.246938
113.216,127.023,3.51875,23,1,2.87243,0.845289,0.971912,0.979892,0.00106548,0.263548
5.35621,20.3548,1.45329,8,1,1.10306,0.898677,0.878853,0.933282,0.0129379,0.485091
45.448,153.976,3.73916,22,1,3.13417,0.865673,0.975005,0.980422,0.000969859,0.835554
61.3938,31.6242,1.44429,18,1,1.04131,0.76674,0.959545,0.962924,0.00501784,0.423246
45.771,48.1235,3.28431,21,1,2.73131,0.867735,0.965234,0.981552,0.000913875,0.260826
65.9577,12.6857,4.8815,31,1,3.71345,0.796845,0.972015,0.97073,0.00179554,0.717109
130.825,-105.827,2.95899,22,1,2.13297,0.756038,0.964874,0.96704,0.000387587,0.690659
52.4036,-147.87,0.991709,14,1,0.793007,0.832822,0.972517,0.979989,0.00385992,0.256701
131.045,36.3674,2.40299,15,1,1.95457,0.82795,0.982415,0.986239,0.000887123,0.191057
111.003,-176.87,4.35988,26,1,3.17698,0.758955,0.96751,0.974496,0.00293071,0.629336
31.0456,23.9601,2.64865,19,1,1.52716,0.612356,0.955702,0.971228,0.00113387,0.769943
81.1484,81.8477,0.160533,1,1,0.160533,1,1,1,9.56019e-49,0
28.5348,144.69,4.53093,30,1,3.67127,0.847914,0.964588,0.970317,0.000832088,0.952942
110.162,-71.2376,4.70935,21,1,3.75494,0.825345,0.971034,0.982595,0.000157338,0.222956
21.6247,-104.364,4.03109,23,1,1.11024,0.290204,0.95463,0.961761,0.00182954,0.463818
61.2733,-135.793,3.5318,22,1,2.64972,0.776356,0.976306,0.978025,0.00195205,0.296849
117.912,82.3372,4.88561,29,1,3.9051,0.833215,0.97249,0.975148,0.00110505,0.630095
73.2965,149.7,2.62314,20,1,1.98301,0.793891,0.965935,0.97654,0.00130155,0.296414
34.5043,-52.3376,3.66908,30,1,2.62125,0.755835,0.969908,0.964321,0.00268884,0.78974
5.64389,-59.7471,1.57718,10,1,1.23734,0.963997,0.847135,0.922091,0.0244136,0.542177
111.851,93.7184,4.75306,24,1,3.44532,0.759535,0.963431,0.972559,0.00203801,0.303895
128.403,44.4497,2.46037,20,1,1.48683,0.639364,0.960884,0.96686,0.00322031,0.396393
66.5288,-162.004,1.43031,14,1,1.08764,0.794664,0.961302,0.980635,0.00245565,0.217679
98.7132,-119.274,2.8405,20,2,1.98157,0.730239,0.981891,0.968853,0.00203276,0.339781
75.9027,82.6578,2.84854,20,1,1.44297,0.528087,0.969847,0.970246,0.00124482,0.39062
96.7444,-142.634,4.16542,23,1,3.39485,0.856614,0.958751,0.978046,0.00197434,0.303455
102.464,138.093,1.37626,14,1,1.06155,0.803861,0.973367,0.975064,0.00205262,0.878579
123.529,141.48,2.62792,19,1,1.91016,0.758371,0.972168,0.970245,0.00352838,0.810255
128.594,-93.6141,3.96167,23,1,3.16094,0.827395,0.973942,0.979062,0.00114143,0.318185
109.139,139.903,1.40756,10,1,1.18741,0.859144,0.995332,0.985327,0.00364393,0.180931
64.7727,-90.761,3.64273,27,1,2.66955,0.776933,0.965986,0.968263,0.00165339,0.878714
1.1959,-146.38,2.63912,14,2,2.19381,0.928316,0.901821,0.924442,0.00853736,0.595749
160.113,139.377,2.25735,10,1,1.22549,0.560348,0.977623,0.97252,0.00185943,0.268427
72.3317,-96.122,1.18291,11,1,0.939262,0.807981,0.982728,0.987228,0.000619907,0.178579
117.359,99.0775,3.22615,25,1,2.47253,0.809059,0.960113,0.972886,0.00101112,0.533758
